,id_1,id_2,cost_1,cost_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_21_7,13,0,170,190,2,2,2,2,200,200,2,2
r_21_8,11,8,130,50,2,1,2,2,50,200,1,1
r_21_9,19,20,90,50,2,1,1,1,50,200,2,2
r_21_10,6,16,150,90,2,1,2,2,50,160,1,1
r_22_0,17,9,70,50,1,1,1,1,130,150,2,2
r_22_1,20,5,70,30,1,1,1,2,130,170,2,1
r_22_2,21,12,30,170,1,2,2,1,220,50,2,1
r_22_3,7,3,150,10,2,1,1,2,50,240,2,1
r_22_4,18,0,130,190,2,2,2,2,200,200,2,2
r_22_5,10,2,30,190,2,2,2,1,200,200,2,1
r_22_6,19,4,170,130,2,1,2,2,50,120,1,1
r_22_7,11,13,130,150,2,2,2,2,200,200,2,2
r_22_8,1,6,50,190,1,2,2,1,200,50,2,1
r_22_9,14,16,10,130,1,1,2,1,190,70,1,2
r_22_10,8,15,170,10,2,1,1,2,50,240,2,1
r_23_0,16,6,70,130,1,2,1,2,180,50,1,2
r_23_1,21,5,170,130,2,2,2,2,200,200,2,2
r_23_2,12,9,130,150,2,2,2,2,200,200,2,2
r_23_3,18,0,90,110,1,2,2,2,160,50,2,2
r_23_4,19,11,30,90,1,2,2,1,220,50,2,1
r_23_5,1,10,30,50,1,1,2,2,170,150,1,1
r_23_6,3,20,110,190,2,2,2,1,200,200,2,1
r_23_7,2,4,190,110,2,2,2,2,200,200,2,2
r_23_8,8,14,170,30,2,1,1,2,50,220,2,1
r_23_9,13,17,110,170,2,2,2,2,200,200,2,2
r_23_10,7,15,70,30,2,1,2,2,50,220,1,1
r_24_0,16,5,170,90,2,2,1,2,200,200,1,2
r_24_1,10,14,30,70,2,2,1,1,200,200,1,1
r_24_2,6,8,90,30,2,1,1,1,50,220,2,2
r_24_3,11,18,90,150,2,2,2,1,200,200,2,1
r_24_4,0,13,190,10,2,1,1,2,50,240,2,1
r_24_5,4,1,30,90,1,1,2,2,170,110,1,1
r_24_6,9,7,150,170,2,2,2,2,200,200,2,2
r_24_7,3,20,190,30,2,1,1,2,50,220,2,1
r_24_8,12,15,170,90,2,2,2,2,200,200,2,2
r_24_9,17,19,150,70,2,2,1,2,200,200,1,2
r_24_10,21,2,150,190,2,2,2,2,200,200,2,2
r_25_0,20,13,110,10,1,1,1,2,90,190,2,1
r_25_1,2,9,190,150,2,2,2,2,200,200,2,2
r_25_2,16,12,30,190,1,2,2,1,220,50,2,1
r_25_3,8,1,70,70,1,2,1,2,180,50,1,2
r_25_4,6,19,130,30,2,1,1,2,50,220,2,1
r_25_5,0,14,10,90,1,2,2,1,240,50,2,1
r_25_6,5,17,10,110,1,2,2,1,240,50,2,1
r_25_7,15,10,110,70,2,1,2,2,50,180,1,1
r_25_8,11,7,170,10,2,2,1,2,200,200,1,2
r_25_9,3,21,150,90,2,1,2,2,50,160,1,1
r_25_10,18,4,130,190,2,2,2,1,200,200,2,1
r_26_0,6,16,70,110,2,1,2,1,50,140,1,2
r_26_1,15,21,10,190,1,2,2,1,240,50,2,1
r_26_2,1,4,130,10,1,1,2,1,70,190,1,2
r_26_3,14,0,50,130,1,2,2,2,200,50,2,2
r_26_4,2,9,50,130,1,2,2,1,200,50,2,1
r_26_5,18,11,190,10,2,1,1,2,50,240,2,1
r_26_6,19,8,70,130,2,2,2,1,200,200,2,1
r_26_7,12,20,30,150,1,2,2,1,220,50,2,1
r_26_8,5,13,130,90,2,1,2,2,50,160,1,1
r_26_9,17,3,150,190,2,2,2,2,200,200,2,2
r_26_10,10,7,30,190,2,2,2,2,200,200,2,2
r_27_0,14,10,90,110,2,2,2,1,200,200,2,1
r_27_1,8,21,90,150,1,2,2,1,160,50,2,1
r_27_2,12,17,170,10,2,1,1,2,50,240,2,1
r_27_3,13,16,110,190,2,2,2,1,200,200,2,1
r_27_4,3,7,10,50,1,2,2,1,240,50,2,1
r_27_5,1,0,190,90,2,2,1,2,200,200,1,2
r_27_6,9,19,50,70,1,2,1,1,200,50,1,1
r_27_7,15,20,150,70,2,1,2,2,50,180,1,1
r_27_8,5,11,110,90,2,2,2,2,200,200,2,2
r_27_9,2,6,150,70,2,2,2,2,200,200,2,2
r_27_10,18,4,150,150,2,2,2,2,200,200,2,2
r_28_0,1,19,90,10,1,1,2,2,110,190,1,1
r_28_1,0,5,10,50,1,2,2,1,240,50,2,1
r_28_2,18,17,130,90,2,1,1,2,50,160,2,1
r_28_3,7,8,70,110,2,2,2,1,200,200,2,1
r_28_4,21,11,130,110,2,2,2,2,200,200,2,2
r_28_5,2,9,150,70,2,1,2,2,50,180,1,1
r_28_6,12,13,110,130,2,2,2,2,200,200,2,2
r_28_7,6,20,10,130,2,2,2,1,200,200,2,1
r_28_8,4,10,150,110,2,2,2,2,200,200,2,2
r_28_9,14,3,150,90,2,2,2,2,200,200,2,2
r_28_10,15,16,90,110,2,1,2,1,50,140,1,2
r_29_0,19,9,110,110,2,2,2,2,200,200,2,2
r_29_1,10,12,130,30,2,1,2,2,50,220,1,1
r_29_2,2,15,50,50,1,1,1,1,150,150,2,2
r_29_3,0,13,70,170,2,2,2,1,200,200,2,1
r_29_4,1,5,110,190,1,2,2,2,140,50,2,2
r_29_5,21,17,170,30,2,1,1,2,50,220,2,1
r_29_6,8,20,30,110,1,1,2,1,170,90,1,2
r_29_7,4,14,50,130,2,2,1,1,200,200,1,1
r_29_8,3,18,10,110,1,2,2,1,240,50,2,1
r_29_9,16,11,130,130,1,2,1,2,120,50,1,2
r_29_10,7,6,50,50,2,1,2,1,50,200,1,2
r_30_0,0,15,70,130,2,2,2,2,200,200,2,2
r_30_1,11,3,170,190,2,2,2,2,200,200,2,2
