,id_1,id_2,cost_1,cost_2,message_1,message_2,action_1,action_2,prediction_1,prediction_2,payoff_1,payoff_2,correct_prediction_1,correct_prediction_2
r_25_4,21,0,170,90,2,2,2,2,2,2,200,200,2,2
r_25_5,15,20,70,50,2,2,2,1,1,2,50,200,2,2
r_25_6,11,5,190,170,2,2,2,2,2,2,200,200,2,2
r_25_7,9,12,10,90,2,2,1,2,1,1,240,50,1,2
r_25_8,2,18,170,70,2,2,2,2,1,2,200,200,1,2
r_25_9,17,6,150,110,2,2,2,2,2,1,200,200,2,1
r_25_10,16,4,10,90,2,2,1,1,2,1,190,110,1,2
r_26_0,10,13,130,10,2,1,2,1,1,1,50,240,2,1
r_26_1,14,0,170,130,2,2,2,2,2,2,200,200,2,2
r_26_2,7,1,50,10,2,2,1,1,1,1,150,190,2,2
r_26_3,12,20,190,30,2,2,2,1,1,2,50,220,2,2
r_26_4,8,2,70,30,1,1,1,1,1,1,130,170,2,2
r_26_5,21,18,30,10,2,2,2,2,2,1,200,200,2,1
r_26_6,16,6,50,130,1,2,1,1,1,2,150,70,2,1
r_26_7,3,15,30,190,1,2,1,2,2,1,220,50,2,2
r_26_8,4,19,130,150,2,2,2,2,2,1,200,200,2,1
r_26_9,11,17,70,50,2,2,2,2,1,1,200,200,1,1
r_26_10,9,5,130,10,2,1,1,1,2,1,70,190,1,2
r_27_0,10,5,190,30,2,1,2,1,1,2,50,220,2,2
r_27_1,7,8,30,190,2,2,1,2,2,1,220,50,2,2
r_27_2,0,1,50,10,2,2,2,1,1,1,50,240,2,1
r_27_3,14,13,150,170,2,2,2,2,2,1,200,200,2,1
r_27_4,18,17,10,150,2,2,2,2,2,1,200,200,2,1
r_27_5,11,16,50,130,1,2,2,2,2,1,200,200,2,1
r_27_6,15,6,70,10,2,1,1,1,1,1,130,190,2,2
r_27_7,2,3,30,170,1,2,1,2,2,1,220,50,2,2
r_27_8,4,12,190,90,2,2,2,2,1,2,200,200,1,2
r_27_9,19,21,30,50,1,2,2,1,1,2,50,200,2,2
r_27_10,9,20,130,70,2,2,2,2,1,2,200,200,1,2
r_28_0,2,16,110,70,2,2,2,2,1,1,200,200,1,1
r_28_1,3,19,50,130,1,2,1,2,2,2,200,50,2,1
r_28_2,21,5,50,190,2,2,2,2,2,1,200,200,2,1
r_28_3,18,1,30,50,2,1,2,2,1,1,200,200,1,1
r_28_4,11,7,190,10,2,1,2,2,1,2,200,200,1,2
r_28_5,17,12,150,50,2,2,2,1,1,2,50,200,2,2
r_28_6,6,15,150,190,2,2,2,2,2,2,200,200,2,2
r_28_7,13,10,130,10,2,2,2,1,1,1,50,240,2,1
r_28_8,4,9,90,170,2,2,2,2,2,1,200,200,2,1
r_28_9,14,0,30,150,2,2,2,2,2,2,200,200,2,2
r_28_10,20,8,30,110,2,2,1,2,2,1,220,50,2,2
r_29_0,13,6,30,150,1,2,1,2,2,1,220,50,2,2
r_29_1,3,2,30,110,1,2,1,2,2,1,220,50,2,2
r_29_2,18,7,30,110,2,2,2,2,2,1,200,200,2,1
r_29_3,4,10,170,190,2,2,2,2,2,2,200,200,2,2
r_29_4,0,12,10,190,2,2,1,2,2,1,240,50,2,2
r_29_5,19,5,70,50,1,1,1,1,1,1,130,150,2,2
r_29_6,20,11,130,10,2,2,2,1,1,1,50,240,2,1
r_29_7,14,21,190,90,2,2,2,2,2,2,200,200,2,2
r_29_8,8,15,110,90,2,1,1,2,1,1,140,50,1,2
r_29_9,9,16,30,150,2,2,1,2,2,1,220,50,2,2
r_29_10,17,1,190,50,2,1,2,1,1,2,50,200,2,2
r_30_0,12,11,190,150,2,2,2,2,2,2,200,200,2,2
r_30_1,6,0,50,190,1,2,2,2,2,2,200,200,2,2
r_30_2,14,1,30,90,2,2,2,2,2,1,200,200,2,1
r_30_3,7,16,130,190,2,2,2,2,2,2,200,200,2,2
